Fecha,Año_hidrologico,Escala,SDI,LogSDI,GammaSDI
1987-08-31,1987-1988,Mar-Aug,,,
1987-09-30,1987-1988,Apr-Sep,,,
1987-10-31,1987-1988,May-Oct,,,
1987-11-30,1987-1988,Jun-Nov,,,
1987-12-31,1987-1988,Jul-Dec,,,
1988-01-31,1987-1988,Aug-Jan,0.42,0.69,0.62
1988-02-29,1987-1988,Sep-Feb,0.15,0.43,0.34
1988-03-31,1987-1988,Oct-Mar,0.08,0.41,0.32
1988-04-30,1988-1989,Nov-Apr,-0.02,0.36,0.24
1988-05-31,1988-1989,Dec-May,-0.15,0.27,0.13
1988-06-30,1988-1989,Jan-Jun,-0.25,0.13,-0.02
1988-07-31,1988-1989,Feb-Jul,-0.54,-0.43,-0.55
1988-08-31,1988-1989,Mar-Aug,-0.85,-0.6,-0.71
1988-09-30,1988-1989,Apr-Sep,-0.48,-0.17,-0.27
1988-10-31,1988-1989,May-Oct,-0.63,-0.38,-0.48
1988-11-30,1988-1989,Jun-Nov,-0.81,-0.66,-0.74
1988-12-31,1988-1989,Jul-Dec,-0.76,-0.65,-0.72
1989-01-31,1988-1989,Aug-Jan,-0.59,-0.6,-0.64
1989-02-28,1988-1989,Sep-Feb,-0.77,-0.91,-0.91
1989-03-31,1988-1989,Oct-Mar,-1.13,-2.17,-1.87
1989-04-30,1989-1990,Nov-Apr,-1.03,-1.92,-1.67
1989-05-31,1989-1990,Dec-May,-0.84,-1.42,-1.34
1989-06-30,1989-1990,Jan-Jun,-0.86,-1.76,-1.56
1989-07-31,1989-1990,Feb-Jul,-0.93,-2.23,-1.85
1989-08-31,1989-1990,Mar-Aug,-1.52,-1.88,-1.81
1989-09-30,1989-1990,Apr-Sep,-1.76,-2.04,-2.02
1989-10-31,1989-1990,May-Oct,-1.61,-2.11,-2.02
1989-11-30,1989-1990,Jun-Nov,-1.36,-1.52,-1.53
1989-12-31,1989-1990,Jul-Dec,-1.17,-1.3,-1.32
1990-01-31,1989-1990,Aug-Jan,-0.73,-0.86,-0.86
1990-02-28,1989-1990,Sep-Feb,-0.29,-0.09,-0.17
1990-03-31,1989-1990,Oct-Mar,0.27,0.57,0.51
1990-04-30,1990-1991,Nov-Apr,0.64,0.86,0.85
1990-05-31,1990-1991,Dec-May,0.56,0.85,0.84
1990-06-30,1990-1991,Jan-Jun,0.58,0.87,0.87
1990-07-31,1990-1991,Feb-Jul,0.54,0.85,0.83
1990-08-31,1990-1991,Mar-Aug,1.11,0.93,1.03
1990-09-30,1990-1991,Apr-Sep,0.23,0.37,0.35
1990-10-31,1990-1991,May-Oct,-0.61,-0.35,-0.46
1990-11-30,1990-1991,Jun-Nov,-0.21,0.0,-0.07
1990-12-31,1990-1991,Jul-Dec,0.74,0.8,0.82
1991-01-31,1990-1991,Aug-Jan,0.6,0.85,0.79
1991-02-28,1990-1991,Sep-Feb,0.31,0.6,0.52
1991-03-31,1990-1991,Oct-Mar,0.07,0.4,0.31
1991-04-30,1991-1992,Nov-Apr,-0.18,0.2,0.06
1991-05-31,1991-1992,Dec-May,-0.15,0.26,0.12
1991-06-30,1991-1992,Jan-Jun,-0.24,0.14,-0.01
1991-07-31,1991-1992,Feb-Jul,-0.03,0.36,0.23
1991-08-31,1991-1992,Mar-Aug,0.43,0.55,0.54
1991-09-30,1991-1992,Apr-Sep,0.46,0.51,0.53
1991-10-31,1991-1992,May-Oct,0.56,0.63,0.64
1991-11-30,1991-1992,Jun-Nov,0.42,0.53,0.52
1991-12-31,1991-1992,Jul-Dec,0.62,0.71,0.72
1992-01-31,1991-1992,Aug-Jan,0.01,0.26,0.18
1992-02-29,1991-1992,Sep-Feb,-0.04,0.23,0.13
1992-03-31,1991-1992,Oct-Mar,-0.09,0.25,0.14
1992-04-30,1992-1993,Nov-Apr,-0.01,0.37,0.26
1992-05-31,1992-1993,Dec-May,0.14,0.55,0.45
1992-06-30,1992-1993,Jan-Jun,-0.03,0.39,0.26
1992-07-31,1992-1993,Feb-Jul,0.02,0.41,0.29
1992-08-31,1992-1993,Mar-Aug,0.66,0.69,0.71
1992-09-30,1992-1993,Apr-Sep,0.93,0.78,0.87
1992-10-31,1992-1993,May-Oct,0.53,0.61,0.62
1992-11-30,1992-1993,Jun-Nov,0.5,0.59,0.59
1992-12-31,1992-1993,Jul-Dec,0.13,0.33,0.28
1993-01-31,1992-1993,Aug-Jan,-0.13,0.09,0.01
1993-02-28,1992-1993,Sep-Feb,-0.28,-0.08,-0.17
1993-03-31,1992-1993,Oct-Mar,-0.51,-0.29,-0.4
1993-04-30,1993-1994,Nov-Apr,-0.24,0.12,-0.01
1993-05-31,1993-1994,Dec-May,-0.04,0.38,0.26
1993-06-30,1993-1994,Jan-Jun,-0.03,0.38,0.25
1993-07-31,1993-1994,Feb-Jul,-0.03,0.35,0.23
1993-08-31,1993-1994,Mar-Aug,0.35,0.5,0.48
1993-09-30,1993-1994,Apr-Sep,0.2,0.35,0.32
1993-10-31,1993-1994,May-Oct,-0.25,0.01,-0.08
1993-11-30,1993-1994,Jun-Nov,-0.33,-0.11,-0.19
1993-12-31,1993-1994,Jul-Dec,-0.16,0.05,-0.02
1994-01-31,1993-1994,Aug-Jan,,,
1994-02-28,1993-1994,Sep-Feb,,,
1994-03-31,1993-1994,Oct-Mar,,,
1994-04-30,1994-1995,Nov-Apr,,,
1994-05-31,1994-1995,Dec-May,,,
1994-06-30,1994-1995,Jan-Jun,,,
1994-07-31,1994-1995,Feb-Jul,,,
1994-08-31,1994-1995,Mar-Aug,,,
1994-09-30,1994-1995,Apr-Sep,,,
1994-10-31,1994-1995,May-Oct,,,
1994-11-30,1994-1995,Jun-Nov,,,
1994-12-31,1994-1995,Jul-Dec,,,
1995-01-31,1994-1995,Aug-Jan,,,
1995-02-28,1994-1995,Sep-Feb,,,
1995-03-31,1994-1995,Oct-Mar,,,
1995-04-30,1995-1996,Nov-Apr,,,
1995-05-31,1995-1996,Dec-May,,,
1995-06-30,1995-1996,Jan-Jun,,,
1995-07-31,1995-1996,Feb-Jul,,,
1995-08-31,1995-1996,Mar-Aug,,,
1995-09-30,1995-1996,Apr-Sep,,,
1995-10-31,1995-1996,May-Oct,,,
1995-11-30,1995-1996,Jun-Nov,,,
1995-12-31,1995-1996,Jul-Dec,,,
1996-01-31,1995-1996,Aug-Jan,,,
1996-02-29,1995-1996,Sep-Feb,,,
1996-03-31,1995-1996,Oct-Mar,,,
1996-04-30,1996-1997,Nov-Apr,,,
1996-05-31,1996-1997,Dec-May,,,
1996-06-30,1996-1997,Jan-Jun,,,
1996-07-31,1996-1997,Feb-Jul,,,
1996-08-31,1996-1997,Mar-Aug,,,
1996-09-30,1996-1997,Apr-Sep,,,
1996-10-31,1996-1997,May-Oct,,,
1996-11-30,1996-1997,Jun-Nov,,,
1996-12-31,1996-1997,Jul-Dec,,,
1997-01-31,1996-1997,Aug-Jan,-0.11,0.11,0.02
1997-02-28,1996-1997,Sep-Feb,-0.2,0.04,-0.06
1997-03-31,1996-1997,Oct-Mar,-0.43,-0.17,-0.29
1997-04-30,1997-1998,Nov-Apr,-0.52,-0.27,-0.4
1997-05-31,1997-1998,Dec-May,-0.3,0.08,-0.08
1997-06-30,1997-1998,Jan-Jun,-0.15,0.25,0.11
1997-07-31,1997-1998,Feb-Jul,-0.24,0.09,-0.05
1997-08-31,1997-1998,Mar-Aug,0.81,0.78,0.82
1997-09-30,1997-1998,Apr-Sep,0.77,0.7,0.76
1997-10-31,1997-1998,May-Oct,0.87,0.82,0.88
1997-11-30,1997-1998,Jun-Nov,1.62,1.28,1.44
1997-12-31,1997-1998,Jul-Dec,2.09,1.57,1.82
1998-01-31,1997-1998,Aug-Jan,2.88,2.24,2.55
1998-02-28,1997-1998,Sep-Feb,2.23,1.87,2.07
1998-03-31,1997-1998,Oct-Mar,2.46,1.68,2.03
1998-04-30,1998-1999,Nov-Apr,2.71,1.7,2.12
1998-05-31,1998-1999,Dec-May,3.39,1.82,2.47
1998-06-30,1998-1999,Jan-Jun,3.49,1.9,2.59
1998-07-31,1998-1999,Feb-Jul,3.47,2.03,2.67
1998-08-31,1998-1999,Mar-Aug,,,
1998-09-30,1998-1999,Apr-Sep,,,
1998-10-31,1998-1999,May-Oct,,,
1998-11-30,1998-1999,Jun-Nov,,,
1998-12-31,1998-1999,Jul-Dec,,,
1999-01-31,1998-1999,Aug-Jan,,,
1999-02-28,1998-1999,Sep-Feb,,,
1999-03-31,1998-1999,Oct-Mar,,,
1999-04-30,1999-2000,Nov-Apr,,,
1999-05-31,1999-2000,Dec-May,,,
1999-06-30,1999-2000,Jan-Jun,,,
1999-07-31,1999-2000,Feb-Jul,,,
1999-08-31,1999-2000,Mar-Aug,,,
1999-09-30,1999-2000,Apr-Sep,,,
1999-10-31,1999-2000,May-Oct,,,
1999-11-30,1999-2000,Jun-Nov,,,
1999-12-31,1999-2000,Jul-Dec,,,
2000-01-31,1999-2000,Aug-Jan,,,
2000-02-29,1999-2000,Sep-Feb,,,
2000-03-31,1999-2000,Oct-Mar,,,
2000-04-30,2000-2001,Nov-Apr,,,
2000-05-31,2000-2001,Dec-May,,,
2000-06-30,2000-2001,Jan-Jun,,,
2000-07-31,2000-2001,Feb-Jul,,,
2000-08-31,2000-2001,Mar-Aug,,,
2000-09-30,2000-2001,Apr-Sep,,,
2000-10-31,2000-2001,May-Oct,,,
2000-11-30,2000-2001,Jun-Nov,,,
2000-12-31,2000-2001,Jul-Dec,,,
2001-01-31,2000-2001,Aug-Jan,,,
2001-02-28,2000-2001,Sep-Feb,,,
2001-03-31,2000-2001,Oct-Mar,,,
2001-04-30,2001-2002,Nov-Apr,,,
2001-05-31,2001-2002,Dec-May,,,
2001-06-30,2001-2002,Jan-Jun,,,
2001-07-31,2001-2002,Feb-Jul,,,
2001-08-31,2001-2002,Mar-Aug,,,
2001-09-30,2001-2002,Apr-Sep,,,
2001-10-31,2001-2002,May-Oct,,,
2001-11-30,2001-2002,Jun-Nov,,,
2001-12-31,2001-2002,Jul-Dec,,,
2002-01-31,2001-2002,Aug-Jan,,,
2002-02-28,2001-2002,Sep-Feb,,,
2002-03-31,2001-2002,Oct-Mar,,,
2002-04-30,2002-2003,Nov-Apr,,,
2002-05-31,2002-2003,Dec-May,,,
2002-06-30,2002-2003,Jan-Jun,,,
2002-07-31,2002-2003,Feb-Jul,,,
2002-08-31,2002-2003,Mar-Aug,,,
2002-09-30,2002-2003,Apr-Sep,,,
2002-10-31,2002-2003,May-Oct,,,
2002-11-30,2002-2003,Jun-Nov,,,
2002-12-31,2002-2003,Jul-Dec,,,
2003-01-31,2002-2003,Aug-Jan,,,
2003-02-28,2002-2003,Sep-Feb,,,
2003-03-31,2002-2003,Oct-Mar,,,
2003-04-30,2003-2004,Nov-Apr,,,
2003-05-31,2003-2004,Dec-May,,,
2003-06-30,2003-2004,Jan-Jun,,,
2003-07-31,2003-2004,Feb-Jul,,,
2003-08-31,2003-2004,Mar-Aug,,,
2003-09-30,2003-2004,Apr-Sep,,,
2003-10-31,2003-2004,May-Oct,,,
2003-11-30,2003-2004,Jun-Nov,,,
2003-12-31,2003-2004,Jul-Dec,,,
2004-01-31,2003-2004,Aug-Jan,,,
2004-02-29,2003-2004,Sep-Feb,,,
2004-03-31,2003-2004,Oct-Mar,,,
2004-04-30,2004-2005,Nov-Apr,,,
2004-05-31,2004-2005,Dec-May,,,
2004-06-30,2004-2005,Jan-Jun,,,
2004-07-31,2004-2005,Feb-Jul,,,
2004-08-31,2004-2005,Mar-Aug,,,
2004-09-30,2004-2005,Apr-Sep,,,
2004-10-31,2004-2005,May-Oct,,,
2004-11-30,2004-2005,Jun-Nov,,,
2004-12-31,2004-2005,Jul-Dec,,,
2005-01-31,2004-2005,Aug-Jan,,,
